Sp	BOLD	GenBank
Aricia agestis	WMB6479-18	MN139533
Aricia agestis	WMB230-11	KM517842
Aricia agestis	GWORL225-09	GU687011
Aricia agestis	EULEP1425-15	MW498980
Aricia agestis	GBGL18228-15	KM459090
Aricia agestis	GBMND51795-21	MT883869
Aricia agestis	GBMND51827-21	MT883827
Aricia agestis	GBMND51807-21	MT883847
Aricia agestis	GBMND51800-21	MT883864
Aricia agestis	GBMND51777-21	MT883889
Aricia agestis	BIBSA1041-15	MN143372
Aricia agestis	GBMND51803-21	MT883861
Aricia agestis	BIBSA046-14	MH419049
Aricia agestis	GBGL18207-15	KM459069
Aricia agestis	BIBSA997-15	MN141606
Aricia agestis	GBMND51823-21	MT883831
Aricia agestis	GBGL18170-15	KM459032
Aricia agestis	WMB6487-18	MN141274
Aricia agestis	GBMND51779-21	MT883886
Aricia agestis	GBMND51806-21	MT883848
Aricia agestis	GBGL18195-15	KM459057
Aricia agestis	EZSPC190-09	JX678152
Aricia agestis	BIBSA1944-19	NA
Aricia agestis	GBMND51830-21	MT883804
Aricia agestis	BIBSA1713-16	MN138691
Aricia agestis	GBMND51749-21	MT883852
Aricia agestis	GBGL18185-15	KM459047
Aricia agestis	GBMNB42692-20	MN107397
Aricia agestis	GBMND51808-21	MT883846
Aricia agestis	GBMNB42693-20	MN107389
Aricia agestis	GBGL34948-19	LT629005
Aricia agestis	GBMND51818-21	MT883836
Aricia agestis	EULEP4947-16	MW500225
Aricia agestis	EULEP926-15	MW503073
Aricia agestis	GBGL18204-15	KM459066
Aricia agestis	BIBSA1260-15	MN139512
Aricia agestis	GBMND51813-21	MT883841
Aricia agestis	ABOLD655-17	MN141875
Aricia agestis	GBMND51760-21	MT883806
Aricia agestis	GBMND51763-21	MT883805
Aricia agestis	GBMND51781-21	MT883884
Aricia agestis	GBMND51786-21	MT883878
Aricia agestis	GBGL34953-19	LT629028
Aricia agestis	BIBSA1943-19	NA
Aricia agestis	GBMNB42710-20	MN107388
Aricia agestis	GBMND51742-21	MT883813
Aricia agestis	EULEP712-15	MW499975
Aricia agestis	GBGL34945-19	LT628915
Aricia agestis	GBMNB42712-20	MN107386
Aricia agestis	GBGL18240-15	KM459102
Aricia agestis	GBMND51835-21	MT883799
Aricia agestis	GBGL18168-15	KM459030
Aricia agestis	GBMND51780-21	MT883885
Aricia agestis	GBMIN16178-13	JX678137
Aricia agestis	GBMIN16211-13	JX678071
Aricia agestis	LEASS701-17	MN143362
Aricia agestis	IRANB389-08	NA
Aricia agestis	GBGL18196-15	KM459058
Aricia agestis	GBMIN16312-13	JX678146
Aricia agestis	BIBSA660-15	MH419426
Aricia agestis	GBMND51737-21	MT883822
Aricia agestis	GBMIN16314-13	JX678142
Aricia agestis	GBMIN16174-13	JX678145
Aricia agestis	WMB5219-14	MN138830
Aricia agestis	WMB4154-14	MN141855
Aricia agestis	GBGL0908-06	AY557031
Aricia agestis	GBMND51796-21	MT883868
Aricia agestis	WMB3948-14	MN138713
Aricia agestis	EZSPC189-09	JX678151
Aricia agestis	GBGL0750-06	AY556873
Aricia agestis	GBGLL143-13	KC676703
Aricia agestis	GBMNB42698-20	MN107396
Aricia agestis	GBMNB42701-20	MN107390
Aricia agestis	GWORL273-09	HM903321
Aricia agestis	BIBSA1221-15	MN143898
Aricia agestis	BIBSA2246-20	NA
Aricia agestis	BIBSA044-14	MH419956
Aricia agestis	BIBSA1051-15	MN144460
Aricia agestis	BIBSA1609-16	MN143533
Aricia agestis	BIBSA1758-16	MN139480
Aricia agestis	BIBSA2294-20	NA
Aricia agestis	BIBSA045-14	MH418497
Aricia agestis	BIBSA2273-20	NA
Aricia agestis	EULEP1205-15	MW499650
Aricia agestis	EULEP1710-15	MW499201
Aricia agestis	EULEP3482-16	MW499521
Aricia agestis	EULEP4985-16	MW502941
Aricia agestis	EULEP5057-16	MW499382
Aricia agestis	EULEP960-15	MW499588
Aricia agestis	FBLMW287-10	HQ563538
Aricia agestis	FBLMW306-10	KX041037
Aricia agestis	FBLMW308-10	KX040894
Aricia agestis	FBLMW309-10	HQ563549
Aricia agestis	GBLAA386-14	MH419706
Aricia agestis	GBLAB121-13	NA
Aricia agestis	GWORL195-09	GU687039
Aricia agestis	GWORL205-09	GU687032
Aricia agestis	GWORL209-09	GU687028
Aricia agestis	GWORL211-09	GU687030
Aricia agestis	GWORL213-09	GU687024
Aricia agestis	GWORL215-09	GU687026
Aricia agestis	GWORL217-09	GU687020
Aricia agestis	GWORL219-09	GU687022
Aricia agestis	GWORL221-09	GU687016
Aricia agestis	GWORL223-09	HQ957267
Aricia agestis	GWORL227-09	JF415671
Aricia agestis	GWORL229-09	JF415672
Aricia agestis	GWORL231-09	GU687007
Aricia agestis	GWORL233-09	GU687008
Aricia agestis	GWORL235-09	GU687009
Aricia agestis	GWORL237-09	GU687003
Aricia agestis	GWORL239-09	GU687005
Aricia agestis	GWORL241-09	JF415673
Aricia agestis	GWORL243-09	HQ957268
Aricia agestis	GWORL247-09	JF415674
Aricia agestis	GWORL249-09	GU686995
Aricia agestis	GWORL251-09	GU686997
Aricia agestis	GWORL253-09	GU686998
Aricia agestis	GWORL255-09	GU686992
Aricia agestis	GWORL257-09	GU686994
Aricia agestis	GWORL262-09	GU686990
Aricia agestis	GWORL263-09	GU686984
Aricia agestis	GWORL259-09	GU686988
Aricia agestis	GWORL260-09	HQ957269
Aricia agestis	GWORL264-09	GU686985
Aricia agestis	GWORL266-09	GU686986
Aricia agestis	GWORL267-09	GU686980
Aricia agestis	GWORL268-09	GU686981
Aricia agestis	GWORL270-09	GU686983
Aricia agestis	GWORL271-09	JF415675
Aricia agestis	GWORL275-09	GU686979
Aricia agestis	GWORL279-09	JF415676
Aricia agestis	GWORO799-09	GU688531
Aricia agestis	GWORZ054-10	HM913966
Aricia agestis	GWOSK861-11	JN276915
Aricia agestis	GWOSU014-11	KX046826
Aricia agestis	GWOSU017-11	KX046268
Aricia agestis	GWOSU020-11	KX045208
Aricia agestis	GWOSU023-11	KX044818
Aricia agestis	GWOSU024-11	KX044297
Aricia agestis	GWOSU025-11	KX045038
Aricia agestis	LEASS837-17	MN141966
Aricia agestis	LOWAB080-07	NA
Aricia agestis	LOWAB090-07	NA
Aricia agestis	LOWAB118-07	NA
Aricia agestis	LOWAB123-07	NA
Aricia agestis	NLLEA1504-14	NA
Aricia agestis	OXB1218-15	MN144116
Aricia agestis	OXB1354-15	MN142399
Aricia agestis	OXB1391-15	MN145018
Aricia agestis	OXB1531-16	MW501227
Aricia agestis	OXB215-15	MN141477
Aricia agestis	OXB247-15	MN142726
Aricia agestis	OXB273-15	MN142488
Aricia agestis	OXB351-15	MN140474
Aricia agestis	OXB622-15	MN139413
Aricia agestis	OXB704-15	MN141065
Aricia agestis	PHLSA627-11	MW499816
Aricia agestis	WMB3490-14	MN142925
Aricia agestis	WMB4038-14	MN142707
Aricia agestis	WMB5053-14	MN138701
Aricia agestis	WMB5362-14	MN144248
Aricia agestis	WMB6360-18	MN142477
Aricia agestis	WMB6362-18	MN141767
Aricia agestis	WMB6379-18	MN144089
Aricia agestis	WMB6389-18	MN139023
Aricia agestis	WMB6407-18	MW499812
Aricia agestis	WMB6431-18	MN144200
Aricia agestis	WMB6433-18	MN139048
Aricia agestis	WMB6450-18	MN141933
Aricia agestis	WMB6458-18	MN138965
Aricia agestis	WMB6471-18	MN140591
Aricia agestis	WMB6477-18	MN141104
Aricia agestis	WMB6524-18	MN139749
Aricia agestis	EULEP723-15	MW502452
Aricia agestis	BIBSA1363-15	MN145162
Aricia agestis	BIBSA2050-19	NA
Aricia agestis	GWORL192-09	GU687044
Aricia agestis	WMB4223-14	MH420161
Aricia agestis	WMB5081-14	MN144585
Aricia agestis	BIBSA1181-15	MN140034
Aricia agestis	BIBSA1247-15	MN145302
Aricia agestis	BIBSA980-15	MH419433
Aricia agestis	BIBSA181-15	MN139132
Aricia agestis	BIBSA1987-19	NA
Aricia agestis	BIBSA072-14	MH420325
Aricia agestis	EZROM039-08	HQ004048
Aricia agestis	EZROM790-08	HQ004052
Aricia agestis	FBLMW297-10	KX040345
Aricia agestis	FBLMW341-10	HQ563578
Aricia agestis	GBLAF778-14	NA
Aricia agestis	OXB1100-15	MN139500
Aricia agestis	OXB1325-15	MN139319
Aricia agestis	OXB1530-16	MW503363
Aricia agestis	OXB250-15	MN144372
Aricia agestis	OXB823-15	MN143149
Aricia agestis	OXB880-15	MN142418
Aricia agestis	OXB957-15	MN142803
Aricia agestis	WMB020-11	MH419325
Aricia agestis	WMB6357-18	MW499456
Aricia agestis	WMB6372-18	MN138466
Aricia agestis	WMB6387-18	MN144935
Aricia agestis	WMB6455-18	MN141786
Aricia agestis	WMB6472-18	MN140383
Aricia agestis	WMB6473-18	MN143836
Aricia agestis	WMB6478-18	MN141566
Aricia agestis	WMB6481-18	MN144619
Aricia agestis	WMB6482-18	MN144732
Aricia agestis	WMB6483-18	MN143843
Aricia agestis	WMB6485-18	MN143698
Aricia agestis	WMB6504-18	MN139679
Aricia agestis	WMB6510-18	MN144290
Aricia agestis	GWORL207-09	GU687034
Aricia agestis	EULEP3480-16	MW501651
Aricia agestis	OXB1034-15	MH418743
Aricia agestis	WMB028-11	MH420320
Aricia agestis	EZROM042-08	HQ004045
Aricia agestis	EZROM043-08	HQ004046
Aricia agestis	EZROM044-08	HQ004047
Aricia agestis	EZROM048-08	HQ004054
Aricia agestis	EZROM601-08	HQ004050
Aricia agestis	EZROM605-08	HQ004053
Aricia agestis	EZROM606-08	HQ004049
Aricia agestis	EZROM793-08	HQ004051
Aricia agestis	LEASS699-17	MN140514
Aricia agestis	SPMIS061-22	NA
Aricia agestis	GBGL18169-15	KM459031
Aricia agestis	GBGL18206-15	KM459068
Aricia agestis	GBGL18211-15	KM459073
Aricia agestis	GBGL18241-15	KM459103
Aricia agestis	GBGL18171-15	KM459033
Aricia agestis	GBGL18172-15	KM459034
Aricia agestis	GBGL18173-15	KM459035
Aricia agestis	GBGL18175-15	KM459037
Aricia agestis	GBGL18177-15	KM459039
Aricia agestis	GBGL18181-15	KM459043
Aricia agestis	GBGL18210-15	KM459072
Aricia agestis	GBGL18213-15	KM459075
Aricia agestis	GBGL18214-15	KM459076
Aricia agestis	GBGL18219-15	KM459081
Aricia agestis	GBGL18220-15	KM459082
Aricia agestis	GBGL18224-15	KM459086
Aricia agestis	GBGL18225-15	KM459087
Aricia agestis	GBGL18226-15	KM459088
Aricia agestis	GBGL18233-15	KM459095
Aricia agestis	GBGL18237-15	KM459099
Aricia agestis	GBGL18238-15	KM459100
Aricia agestis	GBGL18179-15	KM459041
Aricia agestis	GBGL18183-15	KM459045
Aricia agestis	GBGL18215-15	KM459077
Aricia agestis	GBGL18223-15	KM459085
Aricia agestis	GBGL18186-15	KM459048
Aricia agestis	GBGL18187-15	KM459049
Aricia agestis	GBGL18188-15	KM459050
Aricia agestis	GBGL18189-15	KM459051
Aricia agestis	GBGL18198-15	KM459060
Aricia agestis	GBGL18199-15	KM459061
Aricia agestis	GBGL18201-15	KM459063
Aricia agestis	GBGL18202-15	KM459064
Aricia agestis	GBGL18203-15	KM459065
Aricia agestis	GBGL18205-15	KM459067
Aricia agestis	GBGL18229-15	KM459091
Aricia agestis	GBGL18230-15	KM459092
Aricia agestis	GBGL18239-15	KM459101
Aricia agestis	GBGL18197-15	KM459059
Aricia agestis	GBGL18208-15	KM459070
Aricia agestis	GBGL18191-15	KM459053
Aricia agestis	GBGL18221-15	KM459083
Aricia agestis	GBGL18222-15	KM459084
Aricia agestis	GBGL18242-15	KM459104
Aricia agestis	GBGL18193-15	KM459055
Aricia agestis	GBGL18217-15	KM459079
Aricia agestis	GBGL18218-15	KM459080
Aricia agestis	GBGL18232-15	KM459094
Aricia agestis	GBGL18235-15	KM459097
Aricia agestis	GBGL18236-15	KM459098
Aricia agestis	GBMIN81722-17	KR093036
Aricia agestis	GBMIN16186-13	JX678121
Aricia agestis	GBMIN16187-13	JX678119
Aricia agestis	GBMIN16324-13	JX678122
Aricia agestis	GBMIN16325-13	JX678120
Aricia agestis	GBMIN16326-13	JX678118
Aricia agestis	GBMIN16180-13	JX678133
Aricia agestis	GBGL34946-19	LT628916
Aricia agestis	GBGL34951-19	LT629016
Aricia agestis	GBMIN16182-13	JX678129
Aricia agestis	GBMIN16183-13	JX678127
Aricia agestis	GBMIN16184-13	JX678125
Aricia agestis	GBMIN16185-13	JX678123
Aricia agestis	GBMIN16321-13	JX678128
Aricia agestis	GBMIN16322-13	JX678126
Aricia agestis	GBMIN16323-13	JX678124
Aricia agestis	GBGL34949-19	LT629014
Aricia agestis	GBGL34950-19	LT629015
Aricia agestis	GBMIN16188-13	JX678117
Aricia agestis	GBMIN16189-13	JX678115
Aricia agestis	GBMIN16327-13	JX678116
Aricia agestis	GBGL34952-19	LT629025
Aricia agestis	GBMIN16176-13	JX678141
Aricia agestis	GBMIN16177-13	JX678139
Aricia agestis	GBMIN16181-13	JX678131
Aricia agestis	GBMIN16315-13	JX678140
Aricia agestis	GBMIN16320-13	JX678130
Aricia agestis	GBMIN16190-13	JX678113
Aricia agestis	GBMIN16191-13	JX678111
Aricia agestis	GBMIN16192-13	JX678109
Aricia agestis	GBMIN16193-13	JX678107
Aricia agestis	GBMIN16319-13	JX678132
Aricia agestis	GBMIN16330-13	JX678110
Aricia agestis	GBMIN16331-13	JX678108
Aricia agestis	GBMIN16328-13	JX678114
Aricia agestis	GBMIN16329-13	JX678112
Aricia agestis	GBMIN16349-13	JX678072
Aricia agestis	GBMIN16353-13	JX678064
Aricia agestis	GBMND51748-21	MT883854
Aricia agestis	GBMND51750-21	MT883853
Aricia agestis	GBMND51755-21	MT883858
Aricia agestis	GBMND51758-21	MT883859
Aricia agestis	GBMND51759-21	MT883860
Aricia agestis	GBMND51768-21	MT883793
Aricia agestis	GBMND51769-21	MT883796
Aricia agestis	GBMND51770-21	MT883794
Aricia agestis	GBMND51771-21	MT883795
Aricia agestis	GBMND51774-21	MT883893
Aricia agestis	GBMND51775-21	MT883892
Aricia agestis	GBMND51776-21	MT883891
Aricia agestis	GBMND51782-21	MT883882
Aricia agestis	GBMND51783-21	MT883881
Aricia agestis	GBMND51787-21	MT883877
Aricia agestis	GBMND51788-21	MT883876
Aricia agestis	GBMND51790-21	MT883874
Aricia agestis	GBMND51822-21	MT883832
Aricia agestis	GBMND51834-21	MT883800
Aricia agestis	GBMND51837-21	MT883797
Aricia agestis	GBMND51791-21	MT883873
Aricia agestis	GBMND51792-21	MT883872
Aricia agestis	GBMND51793-21	MT883871
Aricia agestis	GBMND51794-21	MT883870
Aricia agestis	GBMND51798-21	MT883866
Aricia agestis	GBMND51801-21	MT883863
Aricia agestis	GBMND51802-21	MT883862
Aricia agestis	GBMNB42709-20	MN107395
Aricia agestis	GBMNB42711-20	MN107394
Aricia agestis	GBMND51735-21	MT883811
Aricia agestis	GBMND51739-21	MT883816
Aricia agestis	GBMND51740-21	MT883815
Aricia agestis	GBMND51741-21	MT883814
Aricia agestis	GBMND51743-21	MT883812
Aricia agestis	GBMND51746-21	MT883818
Aricia agestis	GBMND51747-21	MT883817
Aricia agestis	GBMND51754-21	MT883808
Aricia agestis	GBMND51816-21	MT883838
Aricia agestis	GBMND51819-21	MT883835
Aricia agestis	GBMND51820-21	MT883834
Aricia agestis	GBMND51821-21	MT883833
Aricia agestis	GBMND51744-21	MT883820
Aricia agestis	GBMND51751-21	MT883810
Aricia agestis	GBMND51814-21	MT883840
Aricia agestis	GBMND51810-21	MT883844
Aricia agestis	GBMND51766-21	MT883850
Aricia agestis	GBMND51767-21	MT883849
Aricia agestis	GBMND51784-21	MT883880
Aricia agestis	GBMND51785-21	MT883879
Aricia agestis	GBMND51789-21	MT883875
Aricia agestis	GBMND51804-21	MT883856
Aricia agestis	GBMND51832-21	MT883802
Aricia agestis	GBMND51833-21	MT883801
Aricia agestis	GBMND51799-21	MT883865
Aricia agestis	GBMND51809-21	MT883845
Aricia agestis	GBMND51825-21	MT883829
Aricia agestis	GBMND51828-21	MT883826
Aricia agestis	GBMND51829-21	MT883825
Aricia agestis	GWORL191-09	GU687043
Aricia agestis	GWORL245-09	GU687000
Aricia agestis	WMB276-11	KM517841
Aricia agestis	WMB3880-14	MH419087
Aricia agestis	WMB4714-14	MN139279
Aricia agestis	IRANB413-08	NA
Aricia agestis	LEPAA581-16	MK186128
Aricia agestis	LEPAA583-16	MK186127
Aricia agestis	LEPAA584-16	MK186126
Aricia agestis	LOWA036-06	FJ663299
Aricia agestis	WMB6393-18	MN138726
Aricia agestis	WMB6422-18	MN139926
Aricia agestis	WMB6427-18	MN143819
Aricia agestis	WMB6428-18	MN141214
Aricia agestis	WMB6429-18	MN143752
Aricia agestis	WMB6451-18	MN140840
Aricia agestis	WMB6476-18	MN141018
Aricia agestis	WMB6480-18	MN142661
Aricia agestis	WMB073-11	KM517846
Aricia agestis	WMB163-11	MH419949
Aricia agestis	WMB710-12	KM517847
Aricia agestis	WMB715-12	KM517835
Aricia agestis	WMB717-12	KM517839
Aricia agestis	WMB744-12	KM517838
Aricia agestis	WMB2879-14	MH419470
Aricia agestis	WMB4803-14	MH418986
Aricia artaxerxes	GBMIN20656-13	JX093482
Aricia artaxerxes	GBGL0739-06	AY556862
Aricia artaxerxes	GBGL0740-06	AY556863
Aricia artaxerxes	LEPPA1222-17	MK186134
Aricia artaxerxes	LEPPA1226-17	MK186139
Aricia artaxerxes	LEPAA240-16	MK186136
Aricia artaxerxes	GBGL0854-06	AY556977
Aricia artaxerxes	LEPAA580-16	MK186141
Aricia artaxerxes	GBMIN70567-17	KR093039
Aricia artaxerxes	MIMAB040-21	NA
Aricia artaxerxes	AMTPC204-15	NA
Aricia artaxerxes	BIBSA1069-15	MN140960
Aricia artaxerxes	BIBSA1342-15	MN140508
Aricia artaxerxes	BIBSA182-15	MN143865
Aricia artaxerxes	BIBSA946-15	MN143613
Aricia artaxerxes	AMTPC394-15	NA
Aricia artaxerxes	EULEP1385-15	MW503545
Aricia artaxerxes	EULEP166-14	KP870636
Aricia artaxerxes	EULEP3486-16	MW501288
Aricia artaxerxes	EZROM045-08	HQ004062
Aricia artaxerxes	FBLMW330-10	KX040619
Aricia artaxerxes	GBGLL142-13	KC676704
Aricia artaxerxes	GBMIN16194-13	JX678105
Aricia artaxerxes	GBMIN16195-13	JX678103
Aricia artaxerxes	GBMIN16196-13	JX678101
Aricia artaxerxes	GBMIN16198-13	JX678097
Aricia artaxerxes	GBMIN16201-13	JX678091
Aricia artaxerxes	GBMIN16203-13	JX678087
Aricia artaxerxes	GBMIN16204-13	JX678085
Aricia artaxerxes	GBMIN16218-13	JX678057
Aricia artaxerxes	GBMIN16301-13	JX678168
Aricia artaxerxes	GBMIN16332-13	JX678106
Aricia artaxerxes	GBMIN16335-13	JX678100
Aricia artaxerxes	GBMIN16356-13	JX678058
Aricia artaxerxes	GBMIN70566-17	KR093038
Aricia artaxerxes	GBMNB42685-20	MN107403
Aricia artaxerxes	GBMNB42680-20	MN107399
Aricia artaxerxes	GBMNB42681-20	MN107398
Aricia artaxerxes	GBMNB42682-20	MN107400
Aricia artaxerxes	GBMNB42684-20	MN107402
Aricia artaxerxes	GBMND51838-21	MT883957
Aricia artaxerxes	GBMND51841-21	MT883900
Aricia artaxerxes	GBMND51845-21	MT883927
Aricia artaxerxes	GBMND51849-21	MT883931
Aricia artaxerxes	GBMND51851-21	MT883959
Aricia artaxerxes	GBMND51852-21	MT883955
Aricia artaxerxes	GBMND51853-21	MT883954
Aricia artaxerxes	GBMND51854-21	MT883953
Aricia artaxerxes	GBMND51861-21	MT883946
Aricia artaxerxes	GBMND51866-21	MT883941
Aricia artaxerxes	GBMND51868-21	MT883937
Aricia artaxerxes	GBMND51870-21	MT883935
Aricia artaxerxes	GBMND51874-21	MT883930
Aricia artaxerxes	GBMND51877-21	MT883921
Aricia artaxerxes	GBMND51881-21	MT883917
Aricia artaxerxes	GBMND51882-21	MT883916
Aricia artaxerxes	GBMND51885-21	MT883913
Aricia artaxerxes	GBMND51891-21	MT883907
Aricia artaxerxes	GBMND51892-21	MT883906
Aricia artaxerxes	GBMND51897-21	MT883901
Aricia artaxerxes	GBMND51899-21	MT883896
Aricia artaxerxes	GWOSK797-11	KX040502
Aricia artaxerxes	LEASS1059-17	MN141651
Aricia artaxerxes	LEASS835-17	MN143443
Aricia artaxerxes	LEPAA350-16	MK186130
Aricia artaxerxes	LEPAA114-16	MK186137
Aricia artaxerxes	LEPAA582-16	MK186140
Aricia artaxerxes	LEPAA692-16	MK186132
Aricia artaxerxes	LOWA622-06	FJ663302
Aricia artaxerxes	LOWAB182-09	NA
Aricia artaxerxes	LOWA839-06	FJ663301
Aricia artaxerxes	LOWAB171-09	NA
Aricia artaxerxes	LOWAB176-09	NA
Aricia artaxerxes	PHLAB323-10	JN276923
Aricia artaxerxes	PHLAB324-10	HQ968486
Aricia artaxerxes	PHLAB305-10	HQ968472
Aricia artaxerxes	WMB1662-13	MN140306
Aricia artaxerxes	EULEP1153-15	MW501952
Aricia artaxerxes	EULEP1860-15	MN140723
Aricia artaxerxes	EULEP3487-16	MW503215
Aricia artaxerxes	EULEP3489-16	MW499392
Aricia artaxerxes	EULEP3490-16	MW499696
Aricia artaxerxes	EULEP3491-16	MW499703
Aricia artaxerxes	EZRMN213-08	HQ004065
Aricia artaxerxes	EZROM046-08	HQ004063
